angle_deg,base_id,depth,id,length,opening,score_angle_diff,score_angle_ymax,score_angle_ymin,score_force_closure,score_inner_points_ratio,score_proj_area,score_proj_area_ratio,score_y0_diff,score_y_diff,score_zmax,score_zmin,width,final_score
135,109,40,637,100,150,1.4779288903810084e-12,135.00000000000148,135,0.7071067741154797,0.05976430976430976,580.3580000822265,0.386905333388151,0.18183701451625467,127.73051692914083,-0.241928101,-40,15,5.5
150,118,40,646,100,120,8.183208379109914,150.00000000000236,141.81679162089245,0.7860380879381305,0.04413179413179413,576.0655489818222,0.3840436993212148,0.24575996398926492,100.77391653432247,-0.208362579,-40,15,5.6
165,128,40,656,100,105,9.083487077547716,165.00000000000003,155.9165129224523,0.9129518130165442,0.04112554112554113,572.5966633952405,0.3817311089301603,0.3203624195738968,86.33134056572555,-0.181968689,-40,15,5.7
0,6,50,666,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.04256854256854257,719.857655015546,0.47990510334369735,0,80,-0.951641083,-50,15,6.7
15,18,50,678,100,105,0.21406260285206713,164.785937397148,165.00000000000006,0.9649521043803502,0.04280904280904281,694.7196985928493,0.4631464657285662,0.0843632161974952,86.53433575970374,-1.072227478,-50,15,6.6
30,30,50,690,100,120,2.784694135517327,147.21530586448603,150.00000000000335,0.8407112757960511,0.04641654641654642,724.9186742868369,0.4832791161912246,0.2935161590576101,100.38091879262325,-0.39213562,-50,15,6.3
45,42,50,702,100,135,0,135,135,0.7071067741154797,0.06373256373256374,737.6456031214109,0.49176373541427393,0.08535107715724877,127.99955004125474,-0.146072388,-50,15,6
90,76,50,736,100,150,0,180,180,0.9999999900000002,0.05531505531505532,579.7081521671097,0.3864721014447398,5.7220458984375e-06,129.9999942779541,-0.019668579,-39.99999809,15,6.7
135,109,50,769,100,150,0,135,135,0.7071067741154797,0.0670995670995671,729.3229604828895,0.486215306988593,0.04029643327387333,127.87205751038323,-0.024269104,-50,15,6.1
150,118,50,778,100,120,8.183208379109914,150.00000000000236,141.81679162089245,0.7860380879381305,0.0474987974987975,718.5533863951521,0.4790355909301014,0.24575996398926492,100.77391653432247,-0.491268158,-50,15,6.2
165,128,50,788,100,105,9.083487077547716,165.00000000000003,155.9165129224523,0.9129518130165442,0.04341029341029341,708.9970517783752,0.47266470118558346,0.3203624195738968,86.33134056572555,-0.732486725,-50,15,6.4
0,6,60,798,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.0456950456950457,865.196499432437,0.5767976662882913,0,80,-0.155029297,-60,15,7.4
15,18,60,810,100,105,0.21406260285206713,164.785937397148,165.00000000000006,0.9649521043803502,0.046897546897546896,853.5346362530031,0.5690230908353354,0.0843632161974952,86.53433575970374,-0.155029297,-60,15,7.3
30,30,60,822,100,120,2.784694135517327,147.21530586448603,150.00000000000335,0.8407112757960511,0.050384800384800386,860.4147803341048,0.5736098535560699,0.2935161590576101,100.38091879262325,-0.155029297,-60,15,7
45,43,60,835,100,150,0,135,135,0.7071067741154797,0.07022607022607022,887.1379766058313,0.5914253177372208,0.08535107715724877,127.99955004125474,-0.194591522,-60,15,6.8
90,76,60,868,100,150,0,180,180,0.9999999900000002,0.061808561808561806,731.5312857666903,0.4876875238444602,5.7220458984375e-06,129.9999942779541,-0.416049957,-49.99999809,15,7.5
135,109,60,901,100,150,0,135,135,0.7071067741154797,0.07467532467532467,878.3668117672111,0.585577874511474,0.04029643327387333,127.87205751038323,-0.005256653,-60,15,6.7
150,118,60,910,100,120,8.183208379109914,150.00000000000236,141.81679162089245,0.7860380879381305,0.051587301587301584,873.3677985269178,0.5822451990179452,0.24575996398926492,100.77391653432247,-0.005256653,-60,15,6.9
165,128,60,920,100,105,9.083487077547801,165.0000000000001,155.9165129224523,0.9129518130165442,0.04641654641654642,856.948463398485,0.57129897559899,0.39487518100992247,86.40585332716158,-0.529354095,-60,15,7.1
0,6,70,930,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.050144300144300144,1013.0529775919116,0.675368651727941,0,80,-0.378326416,-70,15,8.3
15,18,70,942,100,105,0.2140626028572683,164.785937397148,165.00000000000526,0.9649521043803502,0.05110630110630111,1021.5850532355089,0.681056702157006,0.16310564067833155,86.61307818418459,-0.146697998,-70,15,8.2
30,30,70,954,100,120,2.7846941355170145,147.21530586448603,150.00000000000304,0.8407112757960511,0.05495430495430496,1023.8719711217705,0.6825813140811803,0.43045997619628196,100.51786260976192,-0.256355286,-70,15,8
45,43,70,967,100,150,0,135,135,0.7071067741154797,0.07732082732082732,1035.3186468768893,0.6902124312512595,0.08535107715724877,127.99955004125474,-0.288528442,-70,15,7.6
90,76,70,1000,100,150,0,180,180,0.9999999900000002,0.06926406926406926,880.6645862506339,0.5871097241670893,5.7220458984375e-06,129.9999942779541,-0.038856506,-59.99999809,15,8.3
135,109,70,1033,100,150,8.242295734817162e-13,134.99999999999918,135,0.7071067741154694,0.08189033189033189,1025.9930902488265,0.6839953934992177,0.01958580909040819,127.8927681345667,-0.0660731,-70,15,7.7
150,118,70,1042,100,120,8.183208379109914,150.00000000000236,141.81679162089245,0.7860380879381305,0.05591630591630592,1013.6457559985023,0.6757638373323349,0.24575996398926492,100.77391653432247,-0.500587463,-70,15,7.9
165,128,70,1052,100,105,9.083487077547659,164.99999999999997,155.9165129224523,0.9129518130165442,0.050144300144300144,1003.9353487520583,0.6692902325013722,0.3981767667293141,86.40915491288098,-0.378326416,-70,15,8.1
0,6,80,1062,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.06277056277056277,1170.2908778824917,0.7801939185883278,0,80,-0.526748657,-80,15,9.1
15,18,80,1074,100,105,0.2140626028572683,164.785937397148,165.00000000000526,0.9649521043803502,0.06457431457431458,1166.2013203592287,0.7774675469061525,0.16310564067833155,86.61307818418459,-0.077125549,-80,15,8.9
30,30,80,1086,100,120,2.7846941355170145,147.21530586448603,150.00000000000304,0.8407112757960511,0.07094757094757095,1180.6063114456417,0.7870708742970944,0.43045997619628196,100.51786260976192,-0.143947601,-80,15,8.8
45,43,80,1099,100,150,0,135,135,0.7071067741154797,0.09908609908609908,1185.460273250389,0.7903068488335927,0.08535107715724877,127.99955004125474,-0.358329773,-80,15,8.4
90,76,80,1132,100,150,0,180,180,0.9999999900000002,0.0873015873015873,1034.7758434465795,0.6898505622977197,5.7220458984375e-06,129.9999942779541,-0.16960144,-69.99999809,15,9.2
135,109,80,1165,100,150,8.242295734817162e-13,134.99999999999918,135,0.7071067741154694,0.10293410293410293,1161.6155662553886,0.7744103775035923,0.01958580909040819,127.8927681345667,-0.480697632,-80,15,8.4
150,118,80,1174,100,120,8.18320837910997,150.00000000000242,141.81679162089245,0.7860380879381305,0.07094757094757095,1167.7668547296944,0.7785112364864629,0.24886131286621804,100.77701788319942,-0.416069031,-80,15,8.6
165,128,80,1184,100,105,9.083487077547659,164.99999999999997,155.9165129224523,0.9129518130165442,0.06445406445406446,1170.826978619287,0.7805513190795247,0.3981767667293141,86.40915491288098,-0.216842651,-80,15,8.8
0,6,90,1194,100,90,0.9054299077803876,179.0945700922196,180,0.9998751294139802,0.07756132756132757,1341.5747490771855,0.894383166051457,0,80,0,-90,15,10
15,18,90,1206,100,105,11.736010650453352,153.2639893495519,165.00000000000526,0.8930888039918772,0.08092833092833093,1332.9651660541458,0.8886434440360972,0.1073291807365635,86.66885464412636,0,-90,15,9.7
30,30,90,1218,100,120,2.7846941355170145,147.21530586448603,150.00000000000304,0.8407112757960511,0.08802308802308802,1335.9587651227178,0.8906391767484785,0.43045997619628196,100.51786260976192,0,-90,15,9.6
45,43,90,1231,100,150,0,135,135,0.7071067741154797,0.11724386724386725,1345.891510943977,0.8972610072959847,0.08535107715724877,127.99955004125474,0,-90,15,9.3
90,76,90,1264,100,150,0,180,180,0.9999999900000002,0.11147186147186147,1194.7167016309684,0.7964778010873123,5.7220458984375e-06,129.9999942779541,0,-79.99999809,15,10
135,109,90,1297,100,150,8.242295734817162e-13,134.99999999999918,135,0.7071067741154694,0.12313612313612314,1331.563038142651,0.8877086920951007,0.01958580909040819,127.8927681345667,0,-90,15,9.4
150,118,90,1306,100,120,8.18320837910997,150.00000000000242,141.81679162089245,0.7860380879381305,0.08778258778258778,1333.7334979133464,0.8891556652755642,0.24886131286621804,100.77701788319942,0,-90,15,9.5
165,128,90,1316,100,105,9.083487077547659,164.99999999999997,155.9165129224523,0.9129518130165442,0.07864357864357864,1332.8345259651878,0.8885563506434585,0.3981767667293141,86.40915491288098,0,-90,15,9.8
90,76,100,1396,100,150,0,180,180,0.9999999900000002,0.11147186147186147,1194.7167016309684,0.7964778010873123,5.7220458984375e-06,129.9999942779541,-10,-89.99999809,15,9
