angle_deg,base_id,depth,id,length,opening,score_angle_diff,score_angle_ymax,score_angle_ymin,score_force_closure,score_inner_points_ratio,score_proj_area,score_proj_area_ratio,score_y0_diff,score_y_diff,score_zmax,score_zmin,width,final_score,
150,119,30,515,100,135,0.4742714008538371,149.30937776241944,149.78364916327328,0.8599358134845019,0.015271765271765271,238.45241419180851,0.15896827612787234,16.56757161906736,99.14819530027378,-0.083550405,-18.84485185,15,4,6.855718919
165,129,30,525,100,120,5.467114929293302,167.45854661559184,161.99143168629854,0.95101028411598,0.01430976430976431,268.8909695771544,0.1792606463847696,13.37386756255836,86.55101759552065,-0.025720311,-20.19896395,15,5,6.934310023
0,7,40,535,100,105,28.421818696348907,166.6752954336048,138.25347673725588,0.7460977722678107,0.021885521885521887,444.2275628618403,0.2961517085745602,11.048865450152931,84.48998986972227,-0.010297686,-32.05336723,15,5.5,6.926896857
15,19,40,547,100,120,18.954276911189595,158.2539537222732,139.2996768110836,0.7581306503058424,0.02392977392977393,463.2096726675295,0.30880644844501964,11.161926403738306,91.31848413690608,-0.010297686,-33.2899151,15,5,6.947919192
30,31,40,559,100,135,0.9962625780146652,145.2143451876269,144.21808260961222,0.8112483837522685,0.02284752284752285,480.56253794100974,0.32037502529400647,12.341709834603833,105.72181747127503,-0.072984713,-34.34557538,15,4.5,6.984419729
150,119,40,647,100,135,0.4742714008488349,149.30937776241944,149.78364916326828,0.8599358134845019,0.022967772967772967,393.31315842375517,0.26220877228250344,13.487291282392981,102.22847563694819,-0.138342859,-28.84485185,15,4.5,6.954173984
165,129,40,657,100,120,5.467114929293302,167.45854661559184,161.99143168629854,0.95101028411598,0.021043771043771045,407.0267892156645,0.271351192810443,11.305581645852058,88.61930351222695,-0.138342859,-30.19896395,15,5,7.016323186
15,19,50,679,100,120,18.954276911190362,158.25395372227396,139.2996768110836,0.7581306503058424,0.03222703222703223,612.5470660412253,0.4083647106941502,8.525198026457659,93.95521251418673,-0.068222361,-43.2899151,15,6,7.043228858
30,31,50,691,100,135,0.9962625780177063,145.21434518762993,144.21808260961222,0.8112483837522685,0.029942279942279944,634.1656037982792,0.42277706919885283,9.653573662468638,108.40995364341023,-0.133997904,-44.34557538,15,5.5,7.080976247
135,109,50,769,100,150,9.840680337374323,145.76017402481315,135.91949368743883,0.7183630187465182,0.03968253968253968,516.109300671923,0.3440728671146154,12.42565466428644,129.6698858101328,-0.06694061,-37.31168101,15,5,6.966247915
150,119,50,779,100,135,0.4742714008538371,149.30937776241944,149.78364916327328,0.8599358134845019,0.03186628186628187,544.179705267951,0.362786470178634,11.116840878004346,104.5989260413368,-0.252990532,-38.84485185,15,5,7.045936148
165,129,50,789,100,120,5.467114929293302,167.45854661559184,161.99143168629854,0.95101028411598,0.0284992784992785,556.9717612888091,0.37131450752587275,9.220388914441202,90.70449624363778,-0.036189964,-40.19896395,15,5.5,7.125500909
15,19,60,811,100,120,17.12076303005844,156.42043984114204,139.2996768110836,0.7581306503058424,0.04076479076479077,756.3360468660188,0.5042240312440125,6.25454033757552,96.22587020306887,-0.392057217,-53.2899151,15,5.5,7.111600038
30,31,60,823,100,135,28.65542370772593,115.5626589018863,144.21808260961222,0.4314979058643247,0.03992303992303992,783.5408437975245,0.5223605625316831,6.087067319825245,124.15059462570412,-0.086593677,-54.34557538,15,5,6.956126725
150,119,60,911,100,135,0.47427140085909514,149.30937776241944,149.78364916327854,0.8599358134845019,0.03835978835978836,687.0242755797426,0.4580161837198284,8.067674626952133,107.64809229238901,-0.308424714,-48.84485185,15,6.6,7.135748549
165,129,60,921,100,120,5.467114929293302,167.45854661559184,161.99143168629854,0.95101028411598,0.03475228475228475,693.4957047057868,0.4623304698038579,6.949613213695528,92.97527194438345,-0.113929759,-50.19896395,15,6.9,7.209174648
15,20,70,944,100,135,15.888199298268034,155.18787610935163,139.2996768110836,0.7581306503058424,0.05110630110630111,906.8258242851276,0.6045505495234185,7.648563442046253,110.12897398269064,-0.004861125,-63.2899151,15,6.6,7.249243705
30,32,70,956,100,150,0.07308063722786073,144.14500197238436,144.21808260961222,0.8105019383920122,0.05242905242905243,936.3704506153082,0.6242469670768721,8.215799637490221,126.27932694336909,-0.04174968,-64.34557538,15,6.8,7.297411313
135,109,70,1033,100,150,8.521453894065502,145.76017402481315,137.23872013074765,0.7341888517792301,0.06096681096681097,816.0788044203309,0.5440525362802207,6.727941078849824,135.36759939556936,-0.025361599,-57.31168101,15,6.6,7.18573735
150,119,70,1043,100,135,0.670989329478914,149.30937776241944,148.63838843294053,0.8538996759518053,0.046897546897546896,846.2415007567374,0.5641610005044916,5.1915411290514655,110.52422579028968,-0.031830739,-58.84485185,15,7,7.263581638
165,129,70,1053,100,120,39.465278501159275,167.45854661559184,127.99326811443257,0.6155688787255811,0.04389129389129389,851.8899653579243,0.5679266435719496,5.086647985014366,105.01153314309335,-0.008739936,-60.19896395,15,6.4,7.121261494
0,8,80,1064,100,120,40.303706250818294,178.55718298807417,138.25347673725588,0.7460977722678107,0.0588023088023088,1045.2713433943657,0.6968475622629104,8.724470526963344,104.26332584683855,-0.082432108,-72.05336723,15,6.7,7.328151941
15,20,80,1076,100,135,20.529030315135287,159.8287071262189,139.2996768110836,0.7581306503058424,0.06397306397306397,1060.7780359594258,0.7071853573062838,9.98727363846782,112.46768417911224,-0.076701104,-73.2899151,15,6.8,7.350454976
30,32,80,1088,100,150,0.32262860166102314,144.54071121127325,144.21808260961222,0.8112483837522685,0.06457431457431458,1088.8298040310135,0.7258865360206757,10.672891498238258,128.73641880411714,-0.095065407,-74.34557538,15,7,7.399127073
150,120,80,1176,100,150,31.44546451988066,149.30937776241944,117.86391324253879,0.4673730922892049,0.06349206349206349,999.5011409904904,0.6663340939936603,7.62448248990885,123.34024940924999,-0.066143257,-68.84485185,15,6,7.135921601
165,130,80,1186,100,135,12.438173721053744,167.45854661559184,155.0203728945381,0.9064579927782566,0.05723905723905724,1010.8627696485214,0.6739085130990142,8.355420092221863,108.28030525030084,-0.082432108,-70.19896395,15,7,7.402938849
0,9,90,1197,100,135,26.682460199702064,164.93593693695794,138.25347673725588,0.7460977722678107,0.06926406926406926,1194.2043643429313,0.7961362428952875,9.934664837423796,105.473520157299,-0.017881952,-82.05336723,15,7,7.436161735
15,20,90,1208,100,135,20.529030315135287,159.8287071262189,139.2996768110836,0.7581306503058424,0.07575757575757576,1211.9413383668111,0.8079608922445407,9.98727363846784,112.46768417911223,-0.037826334,-83.2899151,15,7.2,7.458797443
30,32,90,1220,100,150,0.32262860166102314,144.54071121127325,144.21808260961222,0.8112483837522685,0.07647907647907648,1228.666335804105,0.81911089053607,10.672891498238286,128.73641880411714,-0.520815551,-84.34557538,15,7.3,7.459105917
150,120,90,1308,100,150,2.916774913459136,149.30937776241944,146.3926028489603,0.8328497800229834,0.07058682058682059,1137.0608435656634,0.7580405623771089,11.715244637209715,127.43101155655086,-0.001548306,-78.84485185,15,7.5,7.456188305
165,130,90,1318,100,135,5.855160986957031,167.45854661559184,161.6033856286348,0.948894652316371,0.06577681577681578,1151.7508197033483,0.7678338798022322,10.567343182920126,110.49222834099913,-0.044615366,-80.19896395,15,8,7.527599648
0,9,100,1329,100,135,26.682460199702064,164.93593693695794,138.25347673725588,0.7460977722678107,0.07852332852332852,1334.5018181099238,0.8896678787399491,9.934664837423796,105.473520157299,-0.194583755,-92.05336723,15,7.5,7.516165112
15,20,100,1340,100,135,20.529030315135287,159.8287071262189,139.2996768110836,0.7581306503058424,0.08453583453583453,1347.4817767221086,0.8983211844814057,9.98727363846782,112.46768417911224,-0.083735046,-93.2899151,15,8,7.547064096
30,32,100,1352,100,150,0.32262860166102314,144.54071121127325,144.21808260961222,0.8112483837522685,0.08561808561808562,1379.4800658842314,0.9196533772561543,10.672891498238279,128.73641880411716,-0.006188967,-94.34557538,15,9,7.607191712
150,120,100,1440,100,150,18.701316756225708,149.30937776241944,130.60806100619374,0.650881027030728,0.0860990860990861,1288.3393362633446,0.8588928908422298,12.456817263963565,128.17258418330474,-0.042979907,-88.84485185,15,7,7.450164498
165,130,100,1450,100,135,5.855160986957031,167.45854661559184,161.6033856286348,0.948894652316371,0.07804232804232804,1309.3395554705744,0.8728930369803829,10.567343182920126,110.49222834099913,-0.119162158,-90.19896395,15,8.5,7.630264134
